SN,Province,District ,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status
4664,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Dalit Female Ward Member,2,46,F,Nepali Congress,398,Elected
4665,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward President,3,34,M,Nepali Congress,464,Elected
4666,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,3,29,M,Nepali Congress,529,Elected
4667,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,3,42,M,Nepali Congress,456,Elected
4668,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Female Ward Member,3,42,F,Nepali Congress,555,Elected
4669,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Dalit Female Ward Member,3,44,F,Nepali Congress,477,Elected
4670,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward President,4,34,M,Communist Party of Nepal (Maoist Centre),380,Elected
4671,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,4,29,M,Communist Party of Nepal (Maoist Centre),365,Elected
4672,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,4,33,M,Communist Party of Nepal (Maoist Centre),319,Elected
4673,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Female Ward Member,4,29,F,Communist Party of Nepal (Maoist Centre),339,Elected
4674,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Dalit Female Ward Member,4,31,F,Nepali Congress,307,Elected
4675,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward President,5,33,M,Nepali Congress,677,Elected
4676,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,5,51,M,Nepali Congress,697,Elected
4677,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,5,48,M,Nepali Congress,689,Elected
4678,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Female Ward Member,5,34,F,Nepali Congress,703,Elected
4679,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Dalit Female Ward Member,5,42,F,Nepali Congress,679,Elected
4680,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward President,6,38,M,Nepali Congress,705,Elected
4681,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,6,45,M,Nepali Congress,667,Elected
4682,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,6,29,M,Nepali Congress,655,Elected
4683,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Female Ward Member,6,52,F,Nepali Congress,671,Elected
4684,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Dalit Female Ward Member,6,31,F,Nepali Congress,676,Elected
4685,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward President,7,61,M,Nepali Congress,411,Elected
4686,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,7,56,M,Nepali Congress,429,Elected
4687,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,7,41,M,Nepali Congress,415,Elected
4688,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Female Ward Member,7,28,F,Nepali Congress,422,Elected
4689,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Dalit Female Ward Member,7,52,F,Nepali Congress,418,Elected
4690,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward President,8,29,M,Nepali Congress,338,Elected
4691,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,8,43,M,Nepali Congress,323,Elected
4692,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,8,53,M,Nepali Congress,322,Elected
4693,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Female Ward Member,8,36,F,Nepali Congress,321,Elected
4694,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Dalit Female Ward Member,8,51,F,Nepali Congress,332,Elected
4695,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward President,9,30,M,Nepali Congress,450,Elected
4696,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,9,49,M,Communist Party of Nepal (UML),434,Elected
4697,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,9,57,M,Communist Party of Nepal (UML),430,Elected
4698,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Female Ward Member,9,38,F,Communist Party of Nepal (UML),442,Elected
4699,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Dalit Female Ward Member,9,38,F,Communist Party of Nepal (UML),435,Elected
4700,Province 1,Okhaldhunga,Molung Rural Municipality,Mayor,,50,M,Communist Party of Nepal (UML),3012,Elected
4701,Province 1,Okhaldhunga,Molung Rural Municipality,Vice-Mayor,,60,F,Nepali Congress,3258,Elected
4702,Province 1,Okhaldhunga,Molung Rural Municipality,Ward President,1,35,M,Nepali Congress,665,Elected
4703,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,1,62,M,Nepali Congress,631,Elected
4704,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,1,56,M,Nepali Congress,627,Elected
4705,Province 1,Okhaldhunga,Molung Rural Municipality,Female Ward Member,1,43,F,Nepali Congress,620,Elected
4706,Province 1,Okhaldhunga,Molung Rural Municipality,Dalit Female Ward Member,1,26,F,Nepali Congress,632,Elected
4707,Province 1,Okhaldhunga,Molung Rural Municipality,Ward President,2,49,M,Nepali Congress,788,Elected
4708,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,2,35,M,Nepali Congress,833,Elected
4709,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,2,67,M,Nepali Congress,706,Elected
4710,Province 1,Okhaldhunga,Molung Rural Municipality,Female Ward Member,2,35,F,Nepali Congress,862,Elected
4711,Province 1,Okhaldhunga,Molung Rural Municipality,Dalit Female Ward Member,2,39,F,Nepali Congress,849,Elected
4712,Province 1,Okhaldhunga,Molung Rural Municipality,Ward President,3,37,M,Nepali Congress,244,Elected
4713,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,3,50,M,Nepali Congress,246,Elected
4714,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,3,50,M,Communist Party of Nepal (UML),242,Elected
4715,Province 1,Okhaldhunga,Molung Rural Municipality,Female Ward Member,3,62,F,Nepali Congress,224,Elected
4716,Province 1,Okhaldhunga,Molung Rural Municipality,Dalit Female Ward Member,3,38,F,Communist Party of Nepal (UML),246,Elected
4717,Province 1,Okhaldhunga,Molung Rural Municipality,Ward President,4,39,M,Communist Party of Nepal (Maoist Centre),320,Elected
4718,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,4,52,M,Nepali Congress,355,Elected
4719,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,4,48,M,Communist Party of Nepal (Maoist Centre),298,Elected
4720,Province 1,Okhaldhunga,Molung Rural Municipality,Female Ward Member,4,64,F,Nepali Congress,337,Elected
4721,Province 1,Okhaldhunga,Molung Rural Municipality,Dalit Female Ward Member,4,23,F,Nepali Congress,328,Elected
4722,Province 1,Okhaldhunga,Molung Rural Municipality,Ward President,5,49,M,Nepali Congress,431,Elected
4723,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,5,56,M,Communist Party of Nepal (UML),329,Elected
4724,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,5,26,M,Nepali Congress,328,Elected
4725,Province 1,Okhaldhunga,Molung Rural Municipality,Female Ward Member,5,44,F,Nepali Congress,339,Elected
4726,Province 1,Okhaldhunga,Molung Rural Municipality,Dalit Female Ward Member,5,50,F,Nepali Congress,332,Elected
4727,Province 1,Okhaldhunga,Molung Rural Municipality,Ward President,6,48,M,Communist Party of Nepal (UML),486,Elected
4728,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,6,27,M,Communist Party of Nepal (UML),487,Elected
4729,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,6,22,M,Communist Party of Nepal (UML),401,Elected
4730,Province 1,Okhaldhunga,Molung Rural Municipality,Female Ward Member,6,49,F,Communist Party of Nepal (UML),503,Elected
4731,Province 1,Okhaldhunga,Molung Rural Municipality,Dalit Female Ward Member,6,38,F,Communist Party of Nepal (UML),485,Elected
4732,Province 1,Okhaldhunga,Molung Rural Municipality,Ward President,7,35,M,Communist Party of Nepal (UML),463,Elected
4733,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,7,50,M,Communist Party of Nepal (UML),421,Elected
4734,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,7,44,M,Communist Party of Nepal (UML),413,Elected
4735,Province 1,Okhaldhunga,Molung Rural Municipality,Female Ward Member,7,26,F,Communist Party of Nepal (UML),442,Elected
4736,Province 1,Okhaldhunga,Molung Rural Municipality,Dalit Female Ward Member,7,21,F,Communist Party of Nepal (UML),446,Elected
4737,Province 1,Okhaldhunga,Molung Rural Municipality,Ward President,8,47,M,Communist Party of Nepal (UML),434,Elected
4738,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,8,39,M,Communist Party of Nepal (UML),471,Elected
4739,Province 1,Okhaldhunga,Molung Rural Municipality,Ward Member,8,56,M,Communist Party of Nepal (UML),425,Elected
4740,Province 1,Okhaldhunga,Molung Rural Municipality,Female Ward Member,8,39,F,Communist Party of Nepal (UML),433,Elected
4741,Province 1,Okhaldhunga,Molung Rural Municipality,Dalit Female Ward Member,8,39,F,Communist Party of Nepal (UML),446,Elected
4742,Province 1,Okhaldhunga,Likhu Rural Municipality,Mayor,,61,M,Communist Party of Nepal (UML),3010,Elected
4743,Province 1,Okhaldhunga,Likhu Rural Municipality,Vice-Mayor,,40,F,Communist Party of Nepal (UML),3110,Elected
4744,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward President,1,44,M,Nepali Congress,245,Elected
4745,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,1,50,M,Nepali Congress,239,Elected
4746,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,1,37,M,Nepali Congress,234,Elected
4747,Province 1,Okhaldhunga,Likhu Rural Municipality,Female Ward Member,1,48,F,Nepali Congress,253,Elected
4748,Province 1,Okhaldhunga,Likhu Rural Municipality,Dalit Female Ward Member,1,45,F,Nepali Congress,239,Elected
4749,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward President,2,55,M,Communist Party of Nepal (UML),369,Elected
4750,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,2,56,M,Communist Party of Nepal (UML),322,Elected
4751,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,2,58,M,Communist Party of Nepal (UML),283,Elected
4752,Province 1,Okhaldhunga,Likhu Rural Municipality,Female Ward Member,2,38,F,Communist Party of Nepal (UML),338,Elected
4753,Province 1,Okhaldhunga,Likhu Rural Municipality,Dalit Female Ward Member,2,55,F,Communist Party of Nepal (UML),342,Elected
4754,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward President,3,30,M,Nepali Congress,419,Elected
4755,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,3,39,M,Communist Party of Nepal (UML),456,Elected
4756,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,3,49,M,Communist Party of Nepal (UML),416,Elected
4757,Province 1,Okhaldhunga,Likhu Rural Municipality,Female Ward Member,3,34,F,Communist Party of Nepal (UML),370,Elected
4758,Province 1,Okhaldhunga,Likhu Rural Municipality,Dalit Female Ward Member,3,50,F,Communist Party of Nepal (UML),424,Elected
4759,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward President,4,63,M,Nepali Congress,386,Elected
4760,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,4,53,M,Nepali Congress,368,Elected
4761,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,4,58,M,Nepali Congress,364,Elected
4762,Province 1,Okhaldhunga,Likhu Rural Municipality,Female Ward Member,4,63,F,Nepali Congress,375,Elected
4763,Province 1,Okhaldhunga,Likhu Rural Municipality,Dalit Female Ward Member,4,58,F,Nepali Congress,371,Elected
4764,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward President,5,47,M,Nepali Congress,359,Elected
4765,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,5,47,M,Nepali Congress,356,Elected
4766,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,5,39,F,Nepali Congress,355,Elected
4767,Province 1,Okhaldhunga,Likhu Rural Municipality,Female Ward Member,5,30,F,Nepali Congress,361,Elected
4768,Province 1,Okhaldhunga,Likhu Rural Municipality,Dalit Female Ward Member,5,63,F,Nepali Congress,361,Elected
4769,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward President,6,34,M,Communist Party of Nepal (Maoist Centre),308,Elected
4770,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,6,36,M,Communist Party of Nepal (Maoist Centre),296,Elected
4771,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,6,46,M,Communist Party of Nepal (Maoist Centre),252,Elected
4772,Province 1,Okhaldhunga,Likhu Rural Municipality,Female Ward Member,6,30,F,Communist Party of Nepal (Maoist Centre),274,Elected
4773,Province 1,Okhaldhunga,Likhu Rural Municipality,Dalit Female Ward Member,6,46,F,Communist Party of Nepal (Maoist Centre),277,Elected
4774,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward President,7,27,M,Communist Party of Nepal (UML),333,Elected
4775,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,7,38,M,Communist Party of Nepal (UML),328,Elected
4776,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,7,55,M,Communist Party of Nepal (UML),327,Elected
4777,Province 1,Okhaldhunga,Likhu Rural Municipality,Female Ward Member,7,58,F,Communist Party of Nepal (UML),325,Elected
4778,Province 1,Okhaldhunga,Likhu Rural Municipality,Dalit Female Ward Member,7,50,F,Communist Party of Nepal (UML),324,Elected
4779,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward President,8,55,M,Communist Party of Nepal (UML),663,Elected
4780,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,8,36,M,Communist Party of Nepal (UML),659,Elected
4781,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,8,55,M,Communist Party of Nepal (UML),645,Elected
4782,Province 1,Okhaldhunga,Likhu Rural Municipality,Female Ward Member,8,38,F,Communist Party of Nepal (UML),673,Elected
4783,Province 1,Okhaldhunga,Likhu Rural Municipality,Dalit Female Ward Member,8,62,F,Communist Party of Nepal (UML),664,Elected
4784,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward President,9,47,M,Communist Party of Nepal (UML),456,Elected
4785,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,9,44,M,Communist Party of Nepal (UML),479,Elected
4786,Province 1,Okhaldhunga,Likhu Rural Municipality,Ward Member,9,38,M,Communist Party of Nepal (UML),458,Elected
4787,Province 1,Okhaldhunga,Likhu Rural Municipality,Female Ward Member,9,44,F,Communist Party of Nepal (UML),478,Elected
4788,Province 1,Okhaldhunga,Likhu Rural Municipality,Dalit Female Ward Member,9,26,F,Communist Party of Nepal (UML),486,Elected
4789,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Mayor,,61,M,Communist Party of Nepal (UML),4739,Elected
4790,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Vice-Mayor,,45,F,Communist Party of Nepal (UML),4826,Elected
4791,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward President,1,59,M,Communist Party of Nepal (UML),466,Elected
4792,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward Member,1,46,M,Communist Party of Nepal (UML),482,Elected
4793,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward Member,1,59,M,Communist Party of Nepal (UML),478,Elected
4794,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Female Ward Member,1,42,F,Communist Party of Nepal (UML),486,Elected
4795,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Dalit Female Ward Member,1,46,F,Communist Party of Nepal (UML),477,Elected
4796,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward President,2,43,M,Communist Party of Nepal (UML),471,Elected
4797,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward Member,2,41,M,Communist Party of Nepal (UML),488,Elected
4798,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward Member,2,46,M,Communist Party of Nepal (UML),429,Elected
4799,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Female Ward Member,2,56,F,Communist Party of Nepal (UML),495,Elected
4800,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Dalit Female Ward Member,2,30,F,Communist Party of Nepal (UML),496,Elected
4801,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward President,3,57,M,Nepali Congress,472,Elected
4802,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward Member,3,36,M,Nepali Congress,504,Elected
4803,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward Member,3,40,M,Nepali Congress,488,Elected
4804,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Female Ward Member,3,53,F,Nepali Congress,527,Elected
4805,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Dalit Female Ward Member,3,60,F,Nepali Congress,529,Elected
4806,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward President,4,54,M,Communist Party of Nepal (UML),648,Elected
4807,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward Member,4,31,M,Communist Party of Nepal (UML),753,Elected
4808,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward Member,4,53,M,Communist Party of Nepal (UML),708,Elected
4809,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Female Ward Member,4,38,F,Communist Party of Nepal (UML),739,Elected
4810,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Dalit Female Ward Member,4,36,F,Communist Party of Nepal (UML),716,Elected
4811,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward President,5,53,M,Communist Party of Nepal (UML),487,Elected
4812,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward Member,5,47,M,Communist Party of Nepal (UML),468,Elected
4813,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward Member,5,48,M,Communist Party of Nepal (UML),460,Elected
4814,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Female Ward Member,5,33,F,Communist Party of Nepal (UML),500,Elected
4815,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Dalit Female Ward Member,5,56,F,Communist Party of Nepal (UML),499,Elected
4816,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward President,6,58,M,Communist Party of Nepal (Maoist Centre),326,Elected
4817,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward Member,6,52,M,Communist Party of Nepal (Maoist Centre),307,Elected
4818,Province 1,Okhaldhunga,Siddhicharan Urban Municipality,Ward Member,6,46,M,Communist Party of Nepal (Maoist Centre),305,Elected
