SN,Province,District,Administrative Division,Position,Ward,Age,Gender,Party,Votes,Status
2296,Province 7,Kailali,Lamki Chuha Urban Municipality,Female Ward Member,5,46,F,Communist Party of Nepal (UML),393,Elected
2297,Province 7,Kailali,Lamki Chuha Urban Municipality,Dalit Female Ward Member,5,35,F,Communist Party of Nepal (UML),401,Elected
2298,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward President,6,32,M,Nepali Congress,1027,Elected
2299,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,6,49,M,Communist Party of Nepal (UML),952,Elected
2300,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,6,29,M,Communist Party of Nepal (UML),934,Elected
2301,Province 7,Kailali,Lamki Chuha Urban Municipality,Female Ward Member,6,29,F,Communist Party of Nepal (UML),953,Elected
2302,Province 7,Kailali,Lamki Chuha Urban Municipality,Dalit Female Ward Member,6,29,F,Communist Party of Nepal (UML),961,Elected
2303,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward President,7,46,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",1032,Elected
2304,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,7,41,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",1123,Elected
2305,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,7,26,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",1063,Elected
2306,Province 7,Kailali,Lamki Chuha Urban Municipality,Female Ward Member,7,32,F,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",1015,Elected
2307,Province 7,Kailali,Lamki Chuha Urban Municipality,Dalit Female Ward Member,7,33,F,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",1101,Elected
2308,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward President,8,50,M,Communist Party of Nepal (UML),781,Elected
2309,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,8,57,M,Communist Party of Nepal (UML),699,Elected
2310,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,8,58,M,Communist Party of Nepal (UML),669,Elected
2311,Province 7,Kailali,Lamki Chuha Urban Municipality,Female Ward Member,8,43,F,Communist Party of Nepal (UML),731,Elected
2312,Province 7,Kailali,Lamki Chuha Urban Municipality,Dalit Female Ward Member,8,29,F,Communist Party of Nepal (UML),713,Elected
2313,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward President,9,39,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",1628,Elected
2314,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,9,32,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",1638,Elected
2315,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,9,50,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",1619,Elected
2316,Province 7,Kailali,Lamki Chuha Urban Municipality,Female Ward Member,9,38,F,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",1672,Elected
2317,Province 7,Kailali,Lamki Chuha Urban Municipality,Dalit Female Ward Member,9,39,F,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",1699,Elected
2318,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward President,10,53,M,Nepali Congress,601,Elected
2319,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,10,51,M,Nepali Congress,517,Elected
2320,Province 7,Kailali,Lamki Chuha Urban Municipality,Ward Member,10,58,M,Nepali Congress,500,Elected
2321,Province 7,Kailali,Lamki Chuha Urban Municipality,Female Ward Member,10,40,F,Nepali Congress,561,Elected
2322,Province 7,Kailali,Lamki Chuha Urban Municipality,Dalit Female Ward Member,10,34,F,Nepali Congress,537,Elected
2323,Province 7,Darchula,Apihimal Rural Municipality,Mayor,  ,47,M,Communist Party of Nepal (UML),1249,Elected
2324,Province 7,Darchula,Apihimal Rural Municipality,Vice-Mayor,  ,44,F,Communist Party of Nepal (UML),1336,Elected
2325,Province 7,Darchula,Apihimal Rural Municipality,Ward President,1,43,M,Nepali Congress,146,Elected
2326,Province 7,Darchula,Apihimal Rural Municipality,Ward Member,1,42,M,Communist Party of Nepal (UML),146,Elected
2327,Province 7,Darchula,Apihimal Rural Municipality,Ward Member,1,49,M,Nepali Congress,139,Elected
2328,Province 7,Darchula,Apihimal Rural Municipality,Female Ward Member,1,23,F,Communist Party of Nepal (UML),123,Elected
2329,Province 7,Darchula,Apihimal Rural Municipality,Ward President,2,35,M,Communist Party of Nepal (UML),189,Elected
2330,Province 7,Darchula,Apihimal Rural Municipality,Ward Member,2,39,F,Communist Party of Nepal (UML),181,Elected
2331,Province 7,Darchula,Apihimal Rural Municipality,Ward Member,2,39,M,Nepali Congress,175,Elected
2332,Province 7,Darchula,Apihimal Rural Municipality,Female Ward Member,2,43,F,Nepali Congress,184,Elected
2333,Province 7,Darchula,Apihimal Rural Municipality,Ward President,3,39,M,Communist Party of Nepal (UML),400,Elected
2334,Province 7,Darchula,Apihimal Rural Municipality,Ward Member,3,32,M,Communist Party of Nepal (UML),393,Elected
2335,Province 7,Darchula,Apihimal Rural Municipality,Ward Member,3,29,M,Nepali Congress,350,Elected
2336,Province 7,Darchula,Apihimal Rural Municipality,Female Ward Member,3,26,F,Communist Party of Nepal (UML),383,Elected
2337,Province 7,Darchula,Apihimal Rural Municipality,Ward President,4,28,M,Communist Party of Nepal (Maoist Centre),280,Elected
2338,Province 7,Darchula,Apihimal Rural Municipality,Ward Member,4,44,M,Nepali Congress,301,Elected
2339,Province 7,Darchula,Apihimal Rural Municipality,Ward Member,4,45,M,Communist Party of Nepal (UML),274,Elected
2340,Province 7,Darchula,Apihimal Rural Municipality,Female Ward Member,4,39,F,Communist Party of Nepal (UML),274,Elected
2341,Province 7,Darchula,Apihimal Rural Municipality,Dalit Female Ward Member,4,45,F,Communist Party of Nepal (UML),260,Elected
2342,Province 7,Darchula,Apihimal Rural Municipality,Ward President,5,47,M,Nepali Congress,167,Elected
2343,Province 7,Darchula,Apihimal Rural Municipality,Ward Member,5,64,M,Nepali Congress,172,Elected
2344,Province 7,Darchula,Apihimal Rural Municipality,Ward Member,5,44,M,Communist Party of Nepal (UML),172,Elected
2345,Province 7,Darchula,Apihimal Rural Municipality,Female Ward Member,5,29,F,Communist Party of Nepal (Maoist Centre),166,Elected
2346,Province 7,Darchula,Apihimal Rural Municipality,Dalit Female Ward Member,5,30,F,Communist Party of Nepal (Maoist Centre),167,Elected
2347,Province 7,Darchula,Apihimal Rural Municipality,Ward President,6,44,M,Communist Party of Nepal (UML),175,Elected
2348,Province 7,Darchula,Apihimal Rural Municipality,Ward Member,6,61,M,Communist Party of Nepal (UML),182,Elected
2349,Province 7,Darchula,Apihimal Rural Municipality,Ward Member,6,52,M,Communist Party of Nepal (UML),171,Elected
2350,Province 7,Darchula,Apihimal Rural Municipality,Female Ward Member,6,64,F,Communist Party of Nepal (UML),177,Elected
2351,Province 7,Darchula,Apihimal Rural Municipality,Dalit Female Ward Member,6,56,F,Communist Party of Nepal (UML),181,Elected
2352,Province 7,Darchula,Duhun Rural Municipality,Mayor,  ,45,M,Nepali Congress,2305,Elected
2353,Province 7,Darchula,Duhun Rural Municipality,Vice-Mayor,  ,35,F,Nepali Congress,2209,Elected
2354,Province 7,Darchula,Duhun Rural Municipality,Ward President,1,76,M,Nepali Congress,378,Elected
2355,Province 7,Darchula,Duhun Rural Municipality,Ward Member,1,48,M,Nepali Congress,388,Elected
2356,Province 7,Darchula,Duhun Rural Municipality,Ward Member,1,38,M,Nepali Congress,385,Elected
2357,Province 7,Darchula,Duhun Rural Municipality,Female Ward Member,1,22,F,Nepali Congress,355,Elected
2358,Province 7,Darchula,Duhun Rural Municipality,Dalit Female Ward Member,1,61,F,Nepali Congress,394,Elected
2359,Province 7,Darchula,Duhun Rural Municipality,Ward President,2,39,M,Nepali Congress,687,Elected
2360,Province 7,Darchula,Duhun Rural Municipality,Ward Member,2,68,M,Nepali Congress,678,Elected
2361,Province 7,Darchula,Duhun Rural Municipality,Ward Member,2,43,M,Nepali Congress,672,Elected
2362,Province 7,Darchula,Duhun Rural Municipality,Female Ward Member,2,35,F,Nepali Congress,653,Elected
2363,Province 7,Darchula,Duhun Rural Municipality,Dalit Female Ward Member,2,47,F,Nepali Congress,656,Elected
2364,Province 7,Darchula,Duhun Rural Municipality,Ward President,3,39,M,Nepali Congress,464,Elected
2365,Province 7,Darchula,Duhun Rural Municipality,Ward Member,3,57,M,Nepali Congress,450,Elected
2366,Province 7,Darchula,Duhun Rural Municipality,Ward Member,3,54,M,Nepali Congress,438,Elected
2367,Province 7,Darchula,Duhun Rural Municipality,Female Ward Member,3,35,F,Nepali Congress,453,Elected
2368,Province 7,Darchula,Duhun Rural Municipality,Dalit Female Ward Member,3,33,F,Nepali Congress,466,Elected
2369,Province 7,Darchula,Duhun Rural Municipality,Ward President,4,53,M,Nepali Congress,426,Elected
2370,Province 7,Darchula,Duhun Rural Municipality,Ward Member,4,49,M,Nepali Congress,439,Elected
2371,Province 7,Darchula,Duhun Rural Municipality,Ward Member,4,48,M,Nepali Congress,424,Elected
2372,Province 7,Darchula,Duhun Rural Municipality,Female Ward Member,4,47,F,Nepali Congress,418,Elected
2373,Province 7,Darchula,Duhun Rural Municipality,Dalit Female Ward Member,4,59,F,Nepali Congress,417,Elected
2374,Province 7,Darchula,Duhun Rural Municipality,Ward President,5,53,M,Nepali Congress,282,Elected
2375,Province 7,Darchula,Duhun Rural Municipality,Ward Member,5,45,M,Communist Party of Nepal (Maoist Centre),287,Elected
2376,Province 7,Darchula,Duhun Rural Municipality,Ward Member,5,49,M,Nepali Congress,279,Elected
2377,Province 7,Darchula,Duhun Rural Municipality,Female Ward Member,5,36,F,Nepali Congress,279,Elected
2378,Province 7,Darchula,Duhun Rural Municipality,Dalit Female Ward Member,5,34,F,Nepali Congress,278,Elected
2379,Province 7,Darchula,Naugad  Rural Municipality,Mayor,  ,33,M,Communist Party of Nepal (UML),2289,Elected
2380,Province 7,Darchula,Naugad  Rural Municipality,Vice-Mayor,  ,37,F,Communist Party of Nepal (UML),2306,Elected
2381,Province 7,Darchula,Naugad  Rural Municipality,Ward President,1,40,M,Communist Party of Nepal (UML),361,Elected
2382,Province 7,Darchula,Naugad  Rural Municipality,Ward Member,1,38,M,Nepali Congress,363,Elected
2383,Province 7,Darchula,Naugad  Rural Municipality,Ward Member,1,32,M,Communist Party of Nepal (Maoist Centre),333,Elected
2384,Province 7,Darchula,Naugad  Rural Municipality,Female Ward Member,1,32,F,Communist Party of Nepal (UML),352,Elected
2385,Province 7,Darchula,Naugad  Rural Municipality,Dalit Female Ward Member,1,51,F,Communist Party of Nepal (UML),337,Elected
2386,Province 7,Darchula,Naugad  Rural Municipality,Ward President,2,42,M,Communist Party of Nepal (UML),501,Elected
2387,Province 7,Darchula,Naugad  Rural Municipality,Ward Member,2,40,M,Communist Party of Nepal (UML),452,Elected
2388,Province 7,Darchula,Naugad  Rural Municipality,Ward Member,2,46,M,Communist Party of Nepal (UML),449,Elected
2389,Province 7,Darchula,Naugad  Rural Municipality,Female Ward Member,2,48,F,Communist Party of Nepal (UML),484,Elected
2390,Province 7,Darchula,Naugad  Rural Municipality,Dalit Female Ward Member,2,36,F,Communist Party of Nepal (UML),478,Elected
2391,Province 7,Darchula,Naugad  Rural Municipality,Ward President,3,51,M,Nepali Congress,387,Elected
2392,Province 7,Darchula,Naugad  Rural Municipality,Ward Member,3,33,M,Nepali Congress,366,Elected
2393,Province 7,Darchula,Naugad  Rural Municipality,Ward Member,3,42,M,Nepali Congress,328,Elected
2394,Province 7,Darchula,Naugad  Rural Municipality,Female Ward Member,3,39,F,Nepali Congress,353,Elected
2395,Province 7,Darchula,Naugad  Rural Municipality,Dalit Female Ward Member,3,47,F,Nepali Congress,335,Elected
2396,Province 7,Darchula,Naugad  Rural Municipality,Ward President,4,61,M,Communist Party of Nepal (UML),550,Elected
2397,Province 7,Darchula,Naugad  Rural Municipality,Ward Member,4,40,M,Communist Party of Nepal (UML),602,Elected
2398,Province 7,Darchula,Naugad  Rural Municipality,Ward Member,4,37,M,Communist Party of Nepal (UML),542,Elected
2399,Province 7,Darchula,Naugad  Rural Municipality,Female Ward Member,4,38,F,Communist Party of Nepal (UML),581,Elected
2400,Province 7,Darchula,Naugad  Rural Municipality,Dalit Female Ward Member,4,32,F,Communist Party of Nepal (UML),582,Elected
2401,Province 7,Darchula,Naugad  Rural Municipality,Ward President,5,57,M,Communist Party of Nepal (UML),224,Elected
2402,Province 7,Darchula,Naugad  Rural Municipality,Ward Member,5,25,M,Communist Party of Nepal (UML),224,Elected
2403,Province 7,Darchula,Naugad  Rural Municipality,Ward Member,5,36,M,Communist Party of Nepal (UML),200,Elected
2404,Province 7,Darchula,Naugad  Rural Municipality,Female Ward Member,5,31,F,Communist Party of Nepal (UML),235,Elected
2405,Province 7,Darchula,Naugad  Rural Municipality,Dalit Female Ward Member,5,40,F,Communist Party of Nepal (UML),224,Elected
2406,Province 7,Darchula,Naugad  Rural Municipality,Ward President,6,49,M,Communist Party of Nepal (Maoist Centre),517,Elected
2407,Province 7,Darchula,Naugad  Rural Municipality,Ward Member,6,31,M,Communist Party of Nepal (Maoist Centre),488,Elected
2408,Province 7,Darchula,Naugad  Rural Municipality,Ward Member,6,57,F,Communist Party of Nepal (Maoist Centre),477,Elected
2409,Province 7,Darchula,Naugad  Rural Municipality,Female Ward Member,6,50,F,Communist Party of Nepal (Maoist Centre),543,Elected
2410,Province 7,Darchula,Naugad  Rural Municipality,Dalit Female Ward Member,6,34,F,Communist Party of Nepal (Maoist Centre),544,Elected
2411,Province 7,Darchula,Byas Rural Municipality,Mayor,  ,42,M,Nepali Congress,1915,Elected
2412,Province 7,Darchula,Byas Rural Municipality,Vice-Mayor,  ,29,F,Nepali Congress,1819,Elected
2413,Province 7,Darchula,Byas Rural Municipality,Ward President,1,35,M,Communist Party of Nepal (UML),165,Elected
2414,Province 7,Darchula,Byas Rural Municipality,Ward Member,1,28,M,Communist Party of Nepal (UML),157,Elected
2415,Province 7,Darchula,Byas Rural Municipality,Ward Member,1,30,M,Nepali Congress,148,Elected
2416,Province 7,Darchula,Byas Rural Municipality,Female Ward Member,1,56,F,Nepali Congress,164,Elected
2417,Province 7,Darchula,Byas Rural Municipality,Dalit Female Ward Member,1,51,F,Communist Party of Nepal (UML),154,Elected
2418,Province 7,Darchula,Byas Rural Municipality,Ward President,2,48,M,Nepali Congress,329,Elected
2419,Province 7,Darchula,Byas Rural Municipality,Ward Member,2,38,M,Nepali Congress,324,Elected
2420,Province 7,Darchula,Byas Rural Municipality,Ward Member,2,30,M,Nepali Congress,316,Elected
2421,Province 7,Darchula,Byas Rural Municipality,Female Ward Member,2,29,F,Nepali Congress,339,Elected
2422,Province 7,Darchula,Byas Rural Municipality,Dalit Female Ward Member,2,45,F,Nepali Congress,388,Elected
2423,Province 7,Darchula,Byas Rural Municipality,Ward President,3,36,M,Communist Party of Nepal (UML),323,Elected
2424,Province 7,Darchula,Byas Rural Municipality,Ward Member,3,33,M,Communist Party of Nepal (UML),314,Elected
2425,Province 7,Darchula,Byas Rural Municipality,Ward Member,3,24,F,Communist Party of Nepal (UML),300,Elected
2426,Province 7,Darchula,Byas Rural Municipality,Female Ward Member,3,34,F,Communist Party of Nepal (UML),322,Elected
2427,Province 7,Darchula,Byas Rural Municipality,Dalit Female Ward Member,3,46,F,Communist Party of Nepal (UML),311,Elected
2428,Province 7,Darchula,Byas Rural Municipality,Ward President,4,51,M,Communist Party of Nepal (UML),431,Elected
2429,Province 7,Darchula,Byas Rural Municipality,Ward Member,4,40,M,Communist Party of Nepal (UML),471,Elected
2430,Province 7,Darchula,Byas Rural Municipality,Ward Member,4,34,M,Communist Party of Nepal (UML),386,Elected
2431,Province 7,Darchula,Byas Rural Municipality,Female Ward Member,4,42,F,Communist Party of Nepal (UML),426,Elected
2432,Province 7,Darchula,Byas Rural Municipality,Dalit Female Ward Member,4,29,F,Communist Party of Nepal (UML),442,Elected
2433,Province 7,Darchula,Byas Rural Municipality,Ward President,5,47,M,Nepali Congress,334,Elected
2434,Province 7,Darchula,Byas Rural Municipality,Ward Member,5,26,M,Nepali Congress,377,Elected
2435,Province 7,Darchula,Byas Rural Municipality,Ward Member,5,42,M,Nepali Congress,319,Elected
2436,Province 7,Darchula,Byas Rural Municipality,Female Ward Member,5,33,F,Nepali Congress,345,Elected
2437,Province 7,Darchula,Byas Rural Municipality,Dalit Female Ward Member,5,49,F,Nepali Congress,0,Unopposed
2438,Province 7,Darchula,Byas Rural Municipality,Ward President,6,23,M,Nepali Congress,523,Elected
2439,Province 7,Darchula,Byas Rural Municipality,Ward Member,6,71,M,Nepali Congress,515,Elected
2440,Province 7,Darchula,Byas Rural Municipality,Ward Member,6,47,M,Nepali Congress,479,Elected
2441,Province 7,Darchula,Byas Rural Municipality,Female Ward Member,6,49,F,Nepali Congress,481,Elected
2442,Province 7,Darchula,Byas Rural Municipality,Dalit Female Ward Member,6,49,F,Nepali Congress,498,Elected
2443,Province 7,Darchula,Mahakali Urban Municipality,Mayor,  ,33,M,Nepali Congress,4043,Elected
2444,Province 7,Darchula,Mahakali Urban Municipality,Vice-Mayor,  ,38,F,Nepali Congress,4132,Elected
2445,Province 7,Darchula,Mahakali Urban Municipality,Ward President,1,60,M,Nepali Congress,573,Elected
2446,Province 7,Darchula,Mahakali Urban Municipality,Ward Member,1,43,M,Nepali Congress,576,Elected
2447,Province 7,Darchula,Mahakali Urban Municipality,Ward Member,1,47,M,Nepali Congress,573,Elected
2448,Province 7,Darchula,Mahakali Urban Municipality,Female Ward Member,1,45,F,Nepali Congress,556,Elected
2449,Province 7,Darchula,Mahakali Urban Municipality,Dalit Female Ward Member,1,34,F,Nepali Congress,574,Elected
2450,Province 7,Darchula,Mahakali Urban Municipality,Ward President,2,60,M,Nepali Congress,475,Elected
2451,Province 7,Darchula,Mahakali Urban Municipality,Ward Member,2,65,M,Nepali Congress,458,Elected
2452,Province 7,Darchula,Mahakali Urban Municipality,Ward Member,2,47,M,Nepali Congress,453,Elected
2453,Province 7,Darchula,Mahakali Urban Municipality,Female Ward Member,2,52,F,Nepali Congress,471,Elected
2454,Province 7,Darchula,Mahakali Urban Municipality,Dalit Female Ward Member,2,39,F,Nepali Congress,466,Elected
2455,Province 7,Darchula,Mahakali Urban Municipality,Ward President,3,37,M,Nepali Congress,638,Elected
