SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status,,
1820,Dhanusha,Chhireshwornath Urban Municipality,Ward President,7,41,M,Communist Party of Nepal (UML),582,Elected,,
1821,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,7,53,M,Communist Party of Nepal (UML),498,Elected,,
1822,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,7,46,F,Nepali Congress,494,Elected,,
1823,Dhanusha,Chhireshwornath Urban Municipality,Female Ward Member,7,48,F,Communist Party of Nepal (UML),545,Elected,,
1824,Dhanusha,Chhireshwornath Urban Municipality,Dalit Female Ward Member,7,67,F,Communist Party of Nepal (UML),522,Elected,,
1825,Dhanusha,Chhireshwornath Urban Municipality,Ward President,8,31,M,Nepali Congress,885,Elected,,
1826,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,8,51,M,Nepali Congress,812,Elected,,
1827,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,8,37,M,Nepali Congress,788,Elected,,
1828,Dhanusha,Chhireshwornath Urban Municipality,Female Ward Member,8,35,F,Nepali Congress,839,Elected,,
1829,Dhanusha,Chhireshwornath Urban Municipality,Dalit Female Ward Member,8,47,F,Nepali Congress,843,Elected,,
1830,Dhanusha,Chhireshwornath Urban Municipality,Ward President,9,38,M,Nepali Congress,600,Elected,,
1831,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,9,36,M,Nepali Congress,615,Elected,,
1832,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,9,36,M,Nepali Congress,614,Elected,,
1833,Dhanusha,Chhireshwornath Urban Municipality,Female Ward Member,9,48,F,Nepali Congress,616,Elected,,
1834,Dhanusha,Chhireshwornath Urban Municipality,Dalit Female Ward Member,9,35,F,Nepali Congress,624,Elected,,
1835,Dhanusha,Chhireshwornath Urban Municipality,Ward President,10,52,M,Independent,625,Elected,,
1836,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,10,27,M,Independent,467,Elected,,
1837,Dhanusha,Chhireshwornath Urban Municipality,Ward Member,10,30,M,Independent,466,Elected,,
1838,Dhanusha,Chhireshwornath Urban Municipality,Female Ward Member,10,61,F,Independent,523,Elected,,
1839,Dhanusha,Chhireshwornath Urban Municipality,Dalit Female Ward Member,10,74,F,Independent,515,Elected,,
1840,Dhanusha,Gabeshman charnath Urban Municipality,Mayor,,50,M,Sanghiya Samajbadi Forum-Nepal (SSFN),"3,127",Elected,,
1841,Dhanusha,Gabeshman charnath Urban Municipality,Vice Mayor,,27,F,Communist Party of Nepal (Maoist Centre),"2,610",Elected,,
1842,Dhanusha,Gabeshman charnath Urban Municipality,Ward President,1,72,M,Nepali Congress,392,Elected,,
1843,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,1,37,M,Communist Party of Nepal (Maoist Centre),360,Elected,,
1844,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,1,67,M,Communist Party of Nepal (Maoist Centre),339,Elected,,
1845,Dhanusha,Gabeshman charnath Urban Municipality,Female Ward Member,1,49,F,Communist Party of Nepal (Maoist Centre),365,Elected,,
1846,Dhanusha,Gabeshman charnath Urban Municipality,Dalit Female Ward Member,1,40,F,Communist Party of Nepal (Maoist Centre),362,Elected,,
1847,Dhanusha,Gabeshman charnath Urban Municipality,Ward President,2,45,M,Communist Party of Nepal (Maoist Centre),356,Elected,,
1848,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,2,54,M,Sanghiya Samajbadi Forum-Nepal (SSFN),309,Elected,,
1849,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,2,46,M,Communist Party of Nepal (Maoist Centre),297,Elected,,
1850,Dhanusha,Gabeshman charnath Urban Municipality,Female Ward Member,2,29,F,Sanghiya Samajbadi Forum-Nepal (SSFN),323,Elected,,
1851,Dhanusha,Gabeshman charnath Urban Municipality,Dalit Female Ward Member,2,55,F,Communist Party of Nepal (Maoist Centre),304,Elected,,
1852,Dhanusha,Gabeshman charnath Urban Municipality,Ward President,3,44,M,Sanghiya Samajbadi Forum-Nepal (SSFN),313,Elected,,
1853,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,3,53,M,Nepali Congress,313,Elected,,
1854,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,3,48,M,Nepali Congress,298,Elected,,
1855,Dhanusha,Gabeshman charnath Urban Municipality,Female Ward Member,3,51,F,Sanghiya Samajbadi Forum-Nepal (SSFN),347,Elected,,
1856,Dhanusha,Gabeshman charnath Urban Municipality,Dalit Female Ward Member,3,36,F,Sanghiya Samajbadi Forum-Nepal (SSFN),317,Elected,,
1857,Dhanusha,Gabeshman charnath Urban Municipality,Ward President,4,36,M,Rastriya Prajatantra Party,330,Elected,,
1858,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,4,44,M,Rastriya Prajatantra Party,278,Elected,,
1859,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,4,33,M,Rastriya Prajatantra Party,270,Elected,,
1860,Dhanusha,Gabeshman charnath Urban Municipality,Female Ward Member,4,31,F,Rastriya Prajatantra Party,283,Elected,,
1861,Dhanusha,Gabeshman charnath Urban Municipality,Dalit Female Ward Member,4,56,F,Rastriya Prajatantra Party,286,Elected,,
1862,Dhanusha,Gabeshman charnath Urban Municipality,Ward President,5,28,M,Rastriya Prajatantra Party,394,Elected,,
1863,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,5,36,M,Nepali Congress,413,Elected,,
1864,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,5,58,M,Rastriya Janamanukta Party,364,Elected,,
1865,Dhanusha,Gabeshman charnath Urban Municipality,Female Ward Member,5,37,F,Rastriya Janamanukta Party,361,Elected,,
1866,Dhanusha,Gabeshman charnath Urban Municipality,Dalit Female Ward Member,5,39,F,Rastriya Janamanukta Party,380,Elected,,
1867,Dhanusha,Gabeshman charnath Urban Municipality,Ward President,6,34,M,Communist Party of Nepal (UML),253,Elected,,
1868,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,6,45,M,Communist Party of Nepal (UML),281,Elected,,
1869,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,6,38,M,Communist Party of Nepal (UML),242,Elected,,
1870,Dhanusha,Gabeshman charnath Urban Municipality,Female Ward Member,6,31,F,Communist Party of Nepal (UML),242,Elected,,
1871,Dhanusha,Gabeshman charnath Urban Municipality,Dalit Female Ward Member,6,36,F,Communist Party of Nepal (UML),248,Elected,,
1872,Dhanusha,Gabeshman charnath Urban Municipality,Ward President,7,64,M,Independent,353,Elected,,
1873,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,7,32,M,Independent,369,Elected,,
1874,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,7,46,M,Independent,346,Elected,,
1875,Dhanusha,Gabeshman charnath Urban Municipality,Female Ward Member,7,56,F,Independent,382,Elected,,
1876,Dhanusha,Gabeshman charnath Urban Municipality,Dalit Female Ward Member,7,59,F,Independent,391,Elected,,
1877,Dhanusha,Gabeshman charnath Urban Municipality,Ward President,8,37,M,Rastriya Janamanukta Party,308,Elected,,
1878,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,8,36,M,Rastriya Janamanukta Party,276,Elected,,
1879,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,8,58,M,Independent,270,Elected,,
1880,Dhanusha,Gabeshman charnath Urban Municipality,Female Ward Member,8,38,F,Rastriya Janamanukta Party,277,Elected,,
1881,Dhanusha,Gabeshman charnath Urban Municipality,Dalit Female Ward Member,8,43,F,Rastriya Janamanukta Party,282,Elected,,
1882,Dhanusha,Gabeshman charnath Urban Municipality,Ward President,9,64,M,Communist Party of Nepal (Maoist Centre),565,Elected,,
1883,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,9,66,M,Communist Party of Nepal (Maoist Centre),519,Elected,,
1884,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,9,48,M,Communist Party of Nepal (Maoist Centre),490,Elected,,
1885,Dhanusha,Gabeshman charnath Urban Municipality,Female Ward Member,9,56,F,Communist Party of Nepal (Maoist Centre),525,Elected,,
1886,Dhanusha,Gabeshman charnath Urban Municipality,Dalit Female Ward Member,9,34,F,Communist Party of Nepal (Maoist Centre),531,Elected,,
1887,Dhanusha,Gabeshman charnath Urban Municipality,Ward President,10,58,M,Nepali Congress,448,Elected,,
1888,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,10,49,M,Nepali Congress,368,Elected,,
1889,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,10,46,F,Nepali Congress,334,Elected,,
1890,Dhanusha,Gabeshman charnath Urban Municipality,Female Ward Member,10,33,F,Nepali Congress,391,Elected,,
1891,Dhanusha,Gabeshman charnath Urban Municipality,Dalit Female Ward Member,10,62,F,Nepali Congress,374,Elected,,
1892,Dhanusha,Gabeshman charnath Urban Municipality,Ward President,11,45,M,Communist Party of Nepal (Maoist Centre),206,Elected,,
1893,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,11,48,M,Communist Party of Nepal (Maoist Centre),205,Elected,,
1894,Dhanusha,Gabeshman charnath Urban Municipality,Ward Member,11,47,M,Communist Party of Nepal (Maoist Centre),196,Elected,,
1895,Dhanusha,Gabeshman charnath Urban Municipality,Female Ward Member,11,39,F,Communist Party of Nepal (Maoist Centre),207,Elected,,
1896,Dhanusha,Gabeshman charnath Urban Municipality,Dalit Female Ward Member,11,67,F,Communist Party of Nepal (Maoist Centre),211,Elected,,
1897,Dhanusha,Janak Nandini Rural Municipality,Mayor,,67,M,Nepali Congress,"2,717",Elected,,
1898,Dhanusha,Janak Nandini Rural Municipality,Vice-Mayor,,52,F,Nepali Congress,"3,051",Elected,,
1899,Dhanusha,Janak Nandini Rural Municipality,Ward President,1,37,M,Sanghiya Samajbadi Forum-Nepal (SSFN),346,Elected,,
1900,Dhanusha,Janak Nandini Rural Municipality,Ward Member,1,52,M,Sanghiya Samajbadi Forum-Nepal (SSFN),392,Elected,,
1901,Dhanusha,Janak Nandini Rural Municipality,Ward Member,1,49,M,Sanghiya Samajbadi Forum-Nepal (SSFN),379,Elected,,
1902,Dhanusha,Janak Nandini Rural Municipality,Female Ward Member,1,35,F,Sanghiya Samajbadi Forum-Nepal (SSFN),384,Elected,,
1903,Dhanusha,Janak Nandini Rural Municipality,Dalit Female Ward Member,1,38,F,Sanghiya Samajbadi Forum-Nepal (SSFN),397,Elected,,
1904,Dhanusha,Janak Nandini Rural Municipality,Ward President,2,52,M,Nepali Congress,715,Elected,,
1905,Dhanusha,Janak Nandini Rural Municipality,Ward Member,2,54,M,Nepali Congress,732,Elected,,
1906,Dhanusha,Janak Nandini Rural Municipality,Ward Member,2,68,M,Nepali Congress,727,Elected,,
1907,Dhanusha,Janak Nandini Rural Municipality,Female Ward Member,2,53,F,Nepali Congress,732,Elected,,
1908,Dhanusha,Janak Nandini Rural Municipality,Dalit Female Ward Member,2,59,F,Nepali Congress,728,Elected,,
1909,Dhanusha,Janak Nandini Rural Municipality,Ward President,3,53,M,Nepali Congress,756,Elected,,
1910,Dhanusha,Janak Nandini Rural Municipality,Ward Member,3,49,M,Nepali Congress,729,Elected,,
1911,Dhanusha,Janak Nandini Rural Municipality,Ward Member,3,45,M,Nepali Congress,721,Elected,,
1912,Dhanusha,Janak Nandini Rural Municipality,Female Ward Member,3,55,F,Nepali Congress,732,Elected,,
1913,Dhanusha,Janak Nandini Rural Municipality,Dalit Female Ward Member,3,51,F,Nepali Congress,733,Elected,,
1914,Dhanusha,Janak Nandini Rural Municipality,Ward President,4,46,M,Communist Party of Nepal (UML),605,Elected,,
1915,Dhanusha,Janak Nandini Rural Municipality,Ward Member,4,47,M,Nepali Congress,638,Elected,,
1916,Dhanusha,Janak Nandini Rural Municipality,Ward Member,4,46,M,Nepali Congress,606,Elected,,
1917,Dhanusha,Janak Nandini Rural Municipality,Female Ward Member,4,39,F,Nepali Congress,641,Elected,,
1918,Dhanusha,Janak Nandini Rural Municipality,Dalit Female Ward Member,4,48,F,Nepali Congress,611,Elected,,
1919,Dhanusha,Janak Nandini Rural Municipality,Ward President,5,34,M,Sanghiya Samajbadi Forum-Nepal (SSFN),647,Elected,,
1920,Dhanusha,Janak Nandini Rural Municipality,Ward Member,5,35,M,Sanghiya Samajbadi Forum-Nepal (SSFN),619,Elected,,
1921,Dhanusha,Janak Nandini Rural Municipality,Ward Member,5,79,M,Sanghiya Samajbadi Forum-Nepal (SSFN),595,Elected,,
1922,Dhanusha,Janak Nandini Rural Municipality,Female Ward Member,5,47,F,Sanghiya Samajbadi Forum-Nepal (SSFN),633,Elected,,
1923,Dhanusha,Janak Nandini Rural Municipality,Ward President,6,45,M,Sanghiya Samajbadi Forum-Nepal (SSFN),400,Elected,,
1924,Dhanusha,Janak Nandini Rural Municipality,Ward Member,6,53,M,Sanghiya Samajbadi Forum-Nepal (SSFN),405,Elected,,
1925,Dhanusha,Janak Nandini Rural Municipality,Ward Member,6,50,M,Sanghiya Samajbadi Forum-Nepal (SSFN),354,Elected,,
1926,Dhanusha,Janak Nandini Rural Municipality,Female Ward Member,6,39,F,Sanghiya Samajbadi Forum-Nepal (SSFN),405,Elected,,
1927,Dhanusha,Janak Nandini Rural Municipality,Dalit Female Ward Member,6,82,F,Sanghiya Samajbadi Forum-Nepal (SSFN),416,Elected,,
1928,Dhanusha,Janakpurdham Sub-Metropolitian City,Mayor,,58,M,"Rastriya Janata Party, Nepal","21,903",Elected,,
1929,Dhanusha,Janakpurdham Sub-Metropolitian City,Vice Mayor,,48,F,"Rastriya Janata Party, Nepal","17,147",Elected,,
1930,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward President,1,32,M,"Rastriya Janata Party, Nepal",753,Elected,,
1931,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,1,37,M,"Rastriya Janata Party, Nepal",893,Elected,,
1932,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,1,44,M,"Rastriya Janata Party, Nepal",867,Elected,,
1933,Dhanusha,Janakpurdham Sub-Metropolitian City,Female Ward Member,1,57,F,Nepali Congress,678,Elected,,
1934,Dhanusha,Janakpurdham Sub-Metropolitian City,Dalit Female Ward Member,1,44,F,"Rastriya Janata Party, Nepal",918,Elected,,
1935,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward President,2,37,M,Independent,252,Elected,,
1936,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,2,22,M,"Rastriya Janata Party, Nepal",389,Elected,,
1937,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,2,40,M,"Rastriya Janata Party, Nepal",345,Elected,,
1938,Dhanusha,Janakpurdham Sub-Metropolitian City,Female Ward Member,2,61,F,"Rastriya Janata Party, Nepal",423,Elected,,
1939,Dhanusha,Janakpurdham Sub-Metropolitian City,Dalit Female Ward Member,2,38,F,"Rastriya Janata Party, Nepal",425,Elected,,
1940,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward President,3,35,M,"Rastriya Janata Party, Nepal",227,Elected,,
1941,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,3,53,M,"Rastriya Janata Party, Nepal",286,Elected,,
1942,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,3,38,M,"Rastriya Janata Party, Nepal",248,Elected,,
1943,Dhanusha,Janakpurdham Sub-Metropolitian City,Female Ward Member,3,48,F,"Rastriya Janata Party, Nepal",285,Elected,,
1944,Dhanusha,Janakpurdham Sub-Metropolitian City,Dalit Female Ward Member,3,39,F,"Rastriya Janata Party, Nepal",297,Elected,,
1945,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward President,4,32,M,"Rastriya Janata Party, Nepal","1,541",Elected,,
1946,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,4,32,M,"Rastriya Janata Party, Nepal","1,843",Elected,,
1947,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,4,35,M,"Rastriya Janata Party, Nepal","1,782",Elected,,
1948,Dhanusha,Janakpurdham Sub-Metropolitian City,Female Ward Member,4,44,F,"Rastriya Janata Party, Nepal","1,943",Elected,,
1949,Dhanusha,Janakpurdham Sub-Metropolitian City,Dalit Female Ward Member,4,61,F,Nepali Congress,490,Elected,,
1950,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward President,5,46,M,Nepali Congress,159,Elected,,
1951,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,5,38,M,"Rastriya Janata Party, Nepal",234,Elected,,
1952,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,5,35,M,Nepali Congress,191,Elected,,
1953,Dhanusha,Janakpurdham Sub-Metropolitian City,Female Ward Member,5,63,F,Nepali Congress,265,Elected,,
1954,Dhanusha,Janakpurdham Sub-Metropolitian City,Dalit Female Ward Member,5,28,F,Communist Party of Nepal (UML),145,Elected,,
1955,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward President,6,67,M,"Rastriya Janata Party, Nepal",541,Elected,,
1956,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,6,44,M,"Rastriya Janata Party, Nepal",531,Elected,,
1957,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,6,34,M,"Rastriya Janata Party, Nepal",509,Elected,,
1958,Dhanusha,Janakpurdham Sub-Metropolitian City,Female Ward Member,6,47,F,"Rastriya Janata Party, Nepal",572,Elected,,
1959,Dhanusha,Janakpurdham Sub-Metropolitian City,Dalit Female Ward Member,6,24,F,"Rastriya Janata Party, Nepal",565,Elected,,
1960,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward President,7,45,M,"Rastriya Janata Party, Nepal",834,Elected,,
1961,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,7,28,M,"Rastriya Janata Party, Nepal",888,Elected,,
1962,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,7,38,M,"Rastriya Janata Party, Nepal",805,Elected,,
1963,Dhanusha,Janakpurdham Sub-Metropolitian City,Female Ward Member,7,47,F,"Rastriya Janata Party, Nepal",927,Elected,,
1964,Dhanusha,Janakpurdham Sub-Metropolitian City,Dalit Female Ward Member,7,47,F,"Rastriya Janata Party, Nepal",926,Elected,,
1965,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward President,8,47,M,"Rastriya Janata Party, Nepal",634,Elected,,
1966,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,8,41,M,"Rastriya Janata Party, Nepal",805,Elected,,
1967,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,8,28,M,"Rastriya Janata Party, Nepal",733,Elected,,
1968,Dhanusha,Janakpurdham Sub-Metropolitian City,Female Ward Member,8,52,F,"Rastriya Janata Party, Nepal",835,Elected,,
1969,Dhanusha,Janakpurdham Sub-Metropolitian City,Dalit Female Ward Member,8,34,F,"Rastriya Janata Party, Nepal",847,Elected,,
1970,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward President,9,45,M,Nepali Congress,451,Elected,,
1971,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,9,64,M,"Rastriya Janata Party, Nepal",498,Elected,,
1972,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,9,38,M,"Rastriya Janata Party, Nepal",461,Elected,,
1973,Dhanusha,Janakpurdham Sub-Metropolitian City,Female Ward Member,9,63,F,"Rastriya Janata Party, Nepal",530,Elected,,
1974,Dhanusha,Janakpurdham Sub-Metropolitian City,Dalit Female Ward Member,9,48,F,"Rastriya Janata Party, Nepal",514,Elected,,
1975,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward President,10,49,M,Nepali Congress,433,Elected,,
1976,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,10,37,M,"Rastriya Janata Party, Nepal",448,Elected,,
1977,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,10,45,M,"Rastriya Janata Party, Nepal",390,Elected,,
1978,Dhanusha,Janakpurdham Sub-Metropolitian City,Female Ward Member,10,49,F,"Rastriya Janata Party, Nepal",475,Elected,,
1979,Dhanusha,Janakpurdham Sub-Metropolitian City,Dalit Female Ward Member,10,24,F,Nepali Congress,482,Elected,,
1980,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward President,11,57,M,"Rastriya Janata Party, Nepal",655,Elected,,
1981,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,11,37,M,"Rastriya Janata Party, Nepal",797,Elected,,
1982,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,11,35,M,"Rastriya Janata Party, Nepal",638,Elected,,
1983,Dhanusha,Janakpurdham Sub-Metropolitian City,Female Ward Member,11,58,F,"Rastriya Janata Party, Nepal",737,Elected,,
1984,Dhanusha,Janakpurdham Sub-Metropolitian City,Dalit Female Ward Member,11,33,F,"Rastriya Janata Party, Nepal",868,Elected,,
1985,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward President,12,56,M,Nepali Congress,361,Elected,,
1986,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,12,63,M,Nepali Congress,326,Elected,,
1987,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward Member,12,45,M,Nepali Congress,304,Elected,,
1988,Dhanusha,Janakpurdham Sub-Metropolitian City,Female Ward Member,12,33,F,Nepali Congress,334,Elected,,
1989,Dhanusha,Janakpurdham Sub-Metropolitian City,Dalit Female Ward Member,12,45,F,Nepali Congress,334,Elected,,
1990,Dhanusha,Janakpurdham Sub-Metropolitian City,Ward President,13,47,M,Communist Party of Nepal (UML),587,Elected,,
